id,age_range,country
1516,18-24,FR
1517,18-24,AU
1518,65+,IN
1519,18-24,CL
1520,25-34,KR
1521,35-44,CA
1522,35-44,NL
1523,18-24,DE
1524,<18,NL
1525,18-24,KR
1526,35-44,RU
1527,35-44,MX
1528,18-24,IT
1529,35-44,IN
1530,45-54,TR
1531,<18,CL
1532,25-34,DE
1533,35-44,CO
1534,25-34,AU
1535,25-34,AU
1536,35-44,AU
1537,55-64,AR
1538,45-54,BR
1539,35-44,RU
1540,45-54,CA
1541,25-34,FR
1542,35-44,PT
1543,25-34,EG
1544,18-24,CO
1545,45-54,IT
1546,35-44,IT
1547,25-34,CA
1548,55-64,GB
1549,<18,CO
1550,25-34,IN
1551,<18,CN
1552,45-54,AR
1553,45-54,TR
1554,25-34,CO
1555,35-44,CL
1556,25-34,CO
1557,45-54,CA
1558,25-34,ZA
1559,25-34,BR
1560,55-64,MX
1561,25-34,IN
1562,18-24,BR
1563,35-44,ZA
1564,65+,IT
1565,25-34,CN
1566,18-24,CL
1567,25-34,FR
1568,25-34,CN
1569,18-24,RU
1570,35-44,NL
1571,65+,NL
1572,25-34,KR
1573,25-34,JP
1574,25-34,PT
1575,18-24,JP
1576,55-64,SE
1577,25-34,US
1578,25-34,IN
1579,35-44,JP
1580,25-34,CO
1581,35-44,CO
1582,18-24,AU
1583,45-54,BR
1584,65+,ES
1585,35-44,IN
1586,65+,FR
1587,18-24,FR
1588,25-34,JP
1589,35-44,JP
1590,35-44,NG
1591,25-34,MX
1592,25-34,FR
1593,18-24,US
1594,25-34,MX
1595,18-24,MX
1596,45-54,ES
1597,18-24,RU
1598,<18,PT
1599,35-44,BR
1600,35-44,JP
1601,55-64,RU
1602,35-44,TR
1603,25-34,CA
1604,45-54,JP
1605,35-44,PT
1606,18-24,KR
1607,35-44,CO
1608,55-64,JP
1609,25-34,NG
1610,25-34,CL
1611,18-24,CA
1612,18-24,US
1613,25-34,ES
1614,35-44,PT
1615,18-24,NG
1616,55-64,CN
1617,45-54,CN
1618,35-44,IN
1619,45-54,EG
1620,18-24,KR
1621,25-34,CL
1622,35-44,TR
1623,45-54,DE
1624,45-54,DE
1625,25-34,EG
1626,65+,CO
1627,18-24,FR
1628,55-64,KR
1629,65+,CO
1630,18-24,CO
1631,45-54,CO
1632,<18,SE
1633,25-34,NL
1634,25-34,SE
1635,35-44,CO
1636,55-64,ZA
1637,35-44,GB
1638,25-34,IN
1639,45-54,CO
1640,65+,AU
1641,<18,CL
1642,65+,TR
1643,18-24,DE
1644,45-54,MX
1645,25-34,JP
1646,18-24,JP
1647,25-34,NL
1648,35-44,BR
1649,25-34,MX
1650,<18,BR
1651,35-44,RU
1652,55-64,FR
1653,25-34,CL
1654,18-24,US
1655,25-34,IT
1656,<18,IT
1657,45-54,AU
1658,45-54,ES
1659,35-44,NG
1660,25-34,AR
1661,45-54,CL
1662,35-44,NL
1663,45-54,MX
1664,35-44,CN
1665,45-54,BR
1666,35-44,KR
1667,25-34,BR
1668,65+,ZA
1669,35-44,ES
1670,35-44,US
1671,18-24,MX
1672,35-44,CN
1673,35-44,AU
1674,18-24,CN
1675,<18,US
1676,35-44,ZA
1677,45-54,KR
1678,35-44,IT
1679,18-24,JP
1680,35-44,US
1681,18-24,RU
1682,25-34,EG
1683,18-24,CA
1684,18-24,BR
1685,18-24,IN
1686,25-34,SE
1687,<18,NL
1688,25-34,AU
1689,25-34,ES
1690,25-34,FR
1691,25-34,PT
1692,45-54,PT
1693,18-24,FR
1694,25-34,AR
1695,18-24,IT
1696,18-24,CL
1697,35-44,CL
1698,35-44,IN
1699,55-64,DE
1700,35-44,CN
1701,65+,AU
1702,<18,GB
1703,18-24,AR
1704,<18,US
1705,18-24,MX
1706,35-44,CN
1707,35-44,CL
1708,<18,IN
1709,65+,PT
1710,55-64,NG
1711,25-34,ZA
1712,18-24,IN
1713,18-24,BR
1714,18-24,GB
1715,18-24,GB
1716,25-34,ES
1717,25-34,AU
1718,25-34,NL
1719,65+,TR
1720,35-44,CN
1721,65+,CN
1722,18-24,CO
1723,25-34,KR
1724,35-44,IT
1725,18-24,US
1726,<18,IN
1727,35-44,RU
1728,35-44,SE
1729,25-34,FR
1730,25-34,US
1731,25-34,EG
1732,<18,IN
1733,25-34,AU
1734,18-24,AR
1735,18-24,SE
1736,65+,NG
1737,35-44,SE
1738,45-54,BR
1739,25-34,RU
1740,25-34,KR
1741,18-24,JP
1742,18-24,CL
1743,18-24,CN
1744,45-54,NG
1745,35-44,TR
1746,35-44,CO
1747,25-34,CN
1748,55-64,BR
1749,18-24,BR
1750,25-34,GB
1751,25-34,FR
1752,45-54,SE
1753,65+,KR
1754,25-34,TR
1755,55-64,JP
1756,45-54,AR
1757,18-24,CA
1758,25-34,CO
1759,25-34,EG
1760,65+,KR
1761,18-24,MX
1762,45-54,ES
1763,25-34,AU
1764,45-54,PT
1765,25-34,KR
1766,35-44,GB
1767,45-54,BR
1768,45-54,KR
1769,55-64,ZA
1770,<18,CA
1771,35-44,KR
1772,18-24,TR
1773,25-34,DE
1774,35-44,AU
1775,25-34,ZA
1776,25-34,CL
1777,65+,CN
1778,18-24,JP
1779,35-44,DE
1780,25-34,CA
1781,18-24,DE
1782,18-24,KR
1783,65+,EG
1784,55-64,JP
1785,55-64,NL
1786,65+,BR
1787,18-24,CO
1788,25-34,GB
1789,35-44,TR
1790,25-34,RU
1791,25-34,DE
1792,25-34,US
1793,35-44,RU
1794,35-44,CA
1795,18-24,IN
1796,25-34,CO
1797,35-44,IN
1798,35-44,US
1799,18-24,AU
1800,45-54,RU
1801,<18,KR
1802,25-34,SE
1803,45-54,ZA
1804,35-44,NL
1805,25-34,SE
1806,35-44,GB
1807,35-44,AR
1808,45-54,GB
1809,45-54,JP
1810,35-44,IN
1811,25-34,CN
1812,18-24,IT
1813,25-34,ZA
1814,25-34,IT
1815,35-44,FR
1816,25-34,PT
1817,25-34,EG
1818,<18,KR
1819,25-34,KR
1820,25-34,ZA
1821,45-54,SE
1822,<18,JP
1823,35-44,IT
1824,65+,FR
1825,18-24,RU
1826,25-34,MX
1827,18-24,AU
1828,35-44,SE
1829,35-44,EG
1830,25-34,RU
1831,35-44,CA
1832,55-64,US
1833,18-24,NG
1834,<18,US
1835,55-64,PT
1836,35-44,GB
1837,55-64,BR
1838,35-44,DE
1839,45-54,ZA
1840,25-34,MX
1841,45-54,FR
1842,55-64,NL
1843,35-44,AU
1844,18-24,NL
1845,25-34,RU
1846,18-24,PT
1847,25-34,CL
1848,25-34,FR
1849,35-44,AR
1850,35-44,CL
1851,25-34,TR
1852,35-44,PT
1853,18-24,JP
1854,18-24,CL
1855,18-24,US
1856,25-34,TR
1857,18-24,ES
1858,25-34,MX
1859,25-34,CL
1860,45-54,EG
1861,<18,NG
1862,35-44,US
1863,35-44,MX
1864,45-54,MX
1865,55-64,PT
1866,<18,TR
1867,18-24,GB
1868,55-64,ZA
1869,25-34,AR
1870,35-44,ES
1871,35-44,RU
1872,35-44,PT
1873,55-64,FR
1874,65+,AU
1875,45-54,TR
1876,25-34,KR
1877,55-64,AR
1878,<18,IN
1879,18-24,ES
1880,55-64,CA
1881,25-34,AU
1882,18-24,NG
1883,18-24,CO
1884,55-64,CO
1885,25-34,IN
1886,35-44,SE
1887,18-24,KR
1888,45-54,DE
1889,45-54,BR
1890,25-34,KR
1891,25-34,US
1892,18-24,GB
1893,65+,RU
1894,35-44,MX
1895,55-64,KR
1896,25-34,CN
1897,45-54,JP
1898,45-54,CA
1899,35-44,AR
1900,65+,CN
1901,25-34,FR
1902,18-24,NL
1903,35-44,PT
1904,45-54,GB
1905,35-44,BR
1906,18-24,SE
1907,25-34,ZA
1908,25-34,PT
1909,25-34,BR
1910,35-44,ZA
1911,45-54,US
1912,18-24,TR
1913,25-34,CL
1914,25-34,RU
1915,18-24,NG
1916,45-54,IN
1917,55-64,GB
1918,25-34,CA
1919,45-54,FR
1920,55-64,ES
1921,55-64,DE
1922,18-24,IN
1923,65+,EG
1924,25-34,EG
1925,25-34,EG
1926,18-24,KR
1927,25-34,KR
1928,18-24,TR
1929,25-34,MX
1930,25-34,BR
1931,45-54,IN
1932,55-64,JP
1933,25-34,CN
1934,55-64,AU
1935,55-64,ES
1936,45-54,EG
1937,18-24,KR
1938,35-44,FR
1939,65+,AR
1940,35-44,ES
1941,25-34,CO
1942,25-34,RU
1943,35-44,KR
1944,25-34,SE
1945,18-24,IT
1946,25-34,BR
1947,45-54,ES
1948,55-64,CA
1949,18-24,IT
1950,65+,BR
1951,25-34,ZA
1952,35-44,PT
1953,45-54,MX
1954,45-54,SE
1955,65+,DE
1956,25-34,KR
1957,55-64,SE
1958,18-24,CN
1959,45-54,CL
1960,45-54,FR
1961,35-44,BR
1962,25-34,MX
1963,55-64,US
1964,18-24,CL
1965,<18,FR
1966,45-54,CN
1967,25-34,CO
1968,55-64,CL
1969,25-34,IT
1970,18-24,PT
1971,45-54,CN
1972,35-44,IT
1973,18-24,NG
1974,45-54,IN
1975,25-34,KR
1976,35-44,MX
1977,25-34,ZA
1978,45-54,US
1979,45-54,EG
1980,45-54,PT
1981,18-24,US
1982,45-54,CA
1983,35-44,ZA
1984,35-44,EG
1985,25-34,CA
1986,55-64,EG
1987,45-54,SE
1988,18-24,AU
1989,25-34,NL
1990,55-64,RU
1991,<18,MX
1992,65+,US
1993,35-44,NG
1994,35-44,SE
1995,25-34,PT
1996,25-34,NG
1997,65+,AR
1998,25-34,US
1999,45-54,AU
2000,25-34,DE
2001,18-24,JP
2002,<18,ZA
2003,35-44,ES
2004,65+,FR
2005,25-34,FR
2006,25-34,CN
2007,25-34,GB
2008,35-44,TR
2009,25-34,BR
2010,55-64,DE
2011,25-34,CN
2012,25-34,CA
2013,18-24,ZA
2014,65+,AU
2015,25-34,TR
2016,18-24,JP
2017,35-44,US
2018,35-44,MX
2019,25-34,CO
2020,25-34,AU
2021,45-54,ZA
2022,18-24,NL
2023,45-54,EG
2024,35-44,KR
2025,25-34,PT
2026,25-34,BR
2027,25-34,RU
2028,45-54,SE
2029,25-34,IT
2030,25-34,ZA
2031,35-44,IT
2032,65+,JP
2033,25-34,PT
2034,55-64,CO
2035,25-34,US
2036,<18,CL
2037,18-24,GB
2038,25-34,EG
2039,18-24,ES
2040,<18,ZA
2041,55-64,JP
2042,55-64,DE
2043,45-54,EG
2044,18-24,GB
2045,18-24,DE
2046,18-24,FR
2047,45-54,CN
2048,55-64,SE
2049,25-34,AU
2050,18-24,PT
2051,25-34,AR
2052,25-34,TR
2053,25-34,GB
2054,35-44,CN
2055,45-54,RU
2056,18-24,PT
2057,<18,US
2058,65+,CO
2059,18-24,TR
2060,<18,RU
2061,18-24,CL
2062,<18,SE
2063,25-34,AR
2064,45-54,GB
2065,25-34,CN
2066,25-34,EG
2067,35-44,CL
2068,25-34,JP
2069,55-64,AU
2070,55-64,US
2071,<18,ES
2072,45-54,CA
2073,25-34,AU
2074,65+,JP
2075,25-34,CA
2076,65+,RU
2077,45-54,CO
2078,25-34,MX
2079,35-44,IT
2080,65+,NL
2081,55-64,BR
2082,18-24,CO
2083,45-54,ES
2084,25-34,FR
2085,<18,FR
2086,25-34,ZA
2087,18-24,ZA
2088,45-54,ES
2089,25-34,AU
2090,45-54,RU
2091,<18,CO
2092,25-34,IN
2093,25-34,GB
2094,18-24,US
2095,18-24,AU
2096,18-24,GB
2097,35-44,FR
2098,25-34,SE
2099,25-34,ZA
2100,25-34,AU
2101,55-64,SE
2102,55-64,KR
2103,25-34,US
2104,25-34,ES
2105,18-24,CA
2106,65+,FR
2107,18-24,CO
2108,25-34,AU
2109,25-34,BR
2110,25-34,FR
2111,18-24,US
2112,45-54,SE
2113,18-24,AU
2114,35-44,SE
2115,18-24,TR
2116,18-24,CA
2117,55-64,GB
2118,18-24,JP
2119,45-54,DE
2120,35-44,CL
2121,18-24,ES
2122,65+,NG
2123,25-34,IN
2124,55-64,RU
2125,18-24,FR
2126,55-64,JP
2127,<18,PT
2128,25-34,SE
2129,45-54,FR
2130,55-64,NL
2131,55-64,CL
2132,45-54,US
2133,55-64,US
2134,18-24,IT
2135,25-34,TR
2136,25-34,FR
2137,25-34,CO
2138,25-34,JP
2139,35-44,EG
2140,18-24,SE
2141,35-44,IN
2142,18-24,NL
2143,25-34,CN
2144,25-34,IT
2145,45-54,TR
2146,45-54,CN
2147,35-44,ZA
2148,18-24,NG
2149,35-44,IT
2150,18-24,PT
2151,25-34,CL
2152,25-34,CN
2153,<18,NL
2154,25-34,MX
2155,65+,CA
2156,65+,RU
2157,25-34,US
2158,<18,TR
2159,18-24,PT
2160,25-34,EG
2161,65+,AR
2162,18-24,BR
2163,45-54,JP
2164,18-24,EG
2165,65+,NL
2166,25-34,CN
2167,45-54,IN
2168,25-34,JP
2169,35-44,NG
2170,18-24,NG
2171,18-24,CA
2172,55-64,GB
2173,55-64,NG
2174,55-64,ZA
2175,35-44,CN
2176,45-54,NG
2177,18-24,PT
2178,25-34,US
2179,25-34,NL
2180,35-44,NL
2181,25-34,JP
2182,18-24,ZA
2183,35-44,AU
2184,45-54,AR
2185,25-34,ES
2186,18-24,CL
2187,18-24,DE
2188,18-24,CL
2189,25-34,IN
2190,35-44,US
2191,35-44,FR
2192,35-44,NL
2193,25-34,IN
2194,45-54,CN
2195,18-24,IT
2196,25-34,KR
2197,45-54,PT
2198,18-24,AR
2199,18-24,CO
2200,55-64,ZA
2201,25-34,MX
2202,35-44,AR
2203,<18,CL
2204,35-44,PT
2205,25-34,US
2206,<18,CA
2207,35-44,BR
2208,25-34,CO
2209,25-34,CL
2210,18-24,KR
2211,18-24,BR
2212,25-34,DE
2213,18-24,AR
2214,55-64,KR
2215,<18,AU
2216,25-34,GB
2217,18-24,DE
2218,25-34,ES
2219,55-64,RU
2220,18-24,FR
2221,65+,CN
2222,18-24,GB
2223,45-54,AU
2224,35-44,MX
2225,55-64,ZA
2226,35-44,CO
2227,35-44,EG
2228,18-24,MX
2229,18-24,EG
2230,55-64,DE
2231,25-34,NL
2232,25-34,TR
2233,45-54,ES
2234,25-34,IN
2235,65+,TR
2236,45-54,ZA
2237,35-44,CL
2238,55-64,TR
2239,<18,AU
2240,25-34,MX
2241,25-34,ES
2242,18-24,BR
2243,45-54,US
2244,55-64,MX
2245,25-34,KR
2246,25-34,GB
2247,65+,FR
2248,25-34,JP
2249,25-34,JP
2250,25-34,DE
2251,55-64,RU
2252,35-44,DE
2253,45-54,PT
2254,45-54,IT
2255,25-34,SE
2256,25-34,IN
2257,55-64,JP
2258,25-34,FR
2259,45-54,CL
2260,65+,DE
2261,35-44,TR
2262,45-54,IN
2263,45-54,TR
2264,55-64,IN
2265,25-34,CO
2266,<18,CO
2267,25-34,IN
2268,35-44,PT
2269,25-34,BR
2270,45-54,CL
2271,25-34,TR
2272,35-44,KR
2273,18-24,KR
2274,45-54,ES
2275,35-44,TR
2276,18-24,NL
2277,25-34,DE
2278,45-54,GB
2279,25-34,ES
2280,18-24,DE
2281,65+,CN
2282,45-54,ES
2283,65+,FR
2284,25-34,CA
2285,25-34,MX
2286,55-64,ES
2287,35-44,KR
2288,45-54,ZA
2289,25-34,MX
2290,25-34,EG
2291,18-24,JP
2292,18-24,NL
2293,<18,CA
2294,<18,NL
2295,65+,ZA
2296,25-34,SE
2297,35-44,ZA
2298,45-54,NL
2299,35-44,CA
2300,18-24,RU
2301,45-54,DE
2302,35-44,AU
2303,45-54,CA
2304,45-54,ZA
2305,65+,JP
2306,35-44,ZA
2307,25-34,BR
2308,35-44,AU
2309,18-24,ZA
2310,55-64,IN
2311,18-24,NG
2312,25-34,NL
2313,45-54,EG
2314,35-44,BR
2315,25-34,ZA
2316,25-34,IN
2317,55-64,CN
2318,25-34,IN
2319,55-64,BR
2320,18-24,ZA
2321,45-54,US
2322,55-64,MX
2323,18-24,SE
2324,25-34,AU
2325,18-24,FR
2326,45-54,KR
2327,35-44,NL
2328,35-44,FR
2329,18-24,NL
2330,18-24,RU
2331,<18,AR
2332,25-34,DE
2333,35-44,RU
2334,55-64,ES
2335,35-44,ZA
2336,25-34,CA
2337,65+,AR
2338,45-54,JP
2339,55-64,KR
2340,35-44,CL
2341,25-34,SE
2342,<18,EG
2343,45-54,NL
2344,18-24,IT
2345,25-34,SE
2346,35-44,RU
2347,35-44,NG
2348,35-44,DE
2349,18-24,MX
2350,25-34,PT
2351,35-44,ES
2352,65+,SE
2353,45-54,AU
2354,55-64,IT
2355,45-54,IT
2356,35-44,DE
2357,18-24,GB
2358,35-44,NL
2359,35-44,IT
2360,35-44,DE
2361,25-34,CL
2362,35-44,NG
2363,25-34,IN
2364,25-34,IT
2365,18-24,IN
2366,45-54,DE
2367,18-24,MX
2368,18-24,GB
2369,25-34,MX
2370,35-44,GB
2371,25-34,AR
2372,25-34,US
2373,35-44,DE
2374,25-34,CO
2375,55-64,US
2376,55-64,CO
2377,25-34,CL
2378,25-34,CL
2379,45-54,NL
2380,<18,JP
2381,25-34,IN
2382,25-34,AR
2383,55-64,TR
2384,<18,RU
2385,35-44,CO
2386,45-54,AR
2387,25-34,CN
2388,18-24,DE
2389,65+,CO
2390,25-34,ZA
2391,35-44,CL
2392,18-24,SE
2393,25-34,RU
2394,25-34,CN
2395,18-24,MX
2396,18-24,ES
2397,45-54,CA
2398,18-24,AR
2399,18-24,ZA
2400,25-34,CO
2401,45-54,JP
2402,18-24,MX
2403,35-44,ES
2404,18-24,CO
2405,<18,GB
2406,<18,ZA
2407,45-54,NG
2408,18-24,SE
2409,<18,MX
2410,25-34,NL
2411,55-64,IN
2412,25-34,IN
2413,25-34,RU
2414,<18,GB
2415,25-34,CO
2416,35-44,IT
2417,35-44,SE
2418,25-34,ZA
2419,25-34,GB
2420,18-24,BR
2421,25-34,IN
2422,18-24,CA
2423,45-54,TR
2424,65+,ES
2425,65+,NL
2426,55-64,EG
2427,35-44,CA
2428,45-54,FR
2429,25-34,BR
2430,35-44,TR
2431,25-34,JP
2432,25-34,CA
2433,45-54,ZA
2434,25-34,AU
2435,25-34,DE
2436,55-64,AU
2437,<18,PT
2438,25-34,TR
2439,55-64,CL
2440,35-44,IT
2441,35-44,IT
2442,25-34,DE
2443,25-34,JP
2444,55-64,AR
2445,35-44,KR
2446,25-34,ES
2447,18-24,CA
2448,<18,GB
2449,65+,PT
2450,25-34,IT
2451,35-44,DE
2452,18-24,CL
2453,35-44,ZA
2454,55-64,IT
2455,35-44,AU
2456,18-24,SE
2457,35-44,AR
2458,45-54,GB
2459,25-34,SE
2460,55-64,NL
2461,35-44,AR
2462,55-64,ZA
2463,35-44,JP
2464,18-24,PT
2465,25-34,AR
2466,18-24,NG
2467,55-64,ES
2468,45-54,AU
2469,35-44,BR
2470,25-34,NL
2471,18-24,CL
2472,45-54,SE
2473,25-34,IT
2474,18-24,PT
2475,35-44,RU
2476,<18,KR
2477,25-34,MX
2478,25-34,DE
2479,18-24,IN
2480,65+,KR
2481,18-24,ZA
2482,18-24,RU
2483,18-24,MX
2484,45-54,IT
2485,25-34,CL
2486,35-44,ZA
2487,<18,IN
2488,<18,SE
2489,25-34,TR
2490,45-54,CL
2491,55-64,AR
2492,18-24,IT
2493,35-44,US
2494,55-64,US
2495,25-34,NG
2496,45-54,RU
2497,18-24,CO
2498,55-64,JP
2499,45-54,MX
2500,65+,NL
2501,35-44,CA
2502,25-34,IN
2503,55-64,DE
2504,25-34,NG
2505,25-34,ZA
2506,45-54,IT
2507,45-54,US
2508,55-64,CA
2509,18-24,CL
2510,45-54,NL
2511,45-54,BR
2512,18-24,BR
2513,25-34,NL
2514,25-34,JP
2515,25-34,IN
2516,65+,CL
2517,35-44,IT
2518,45-54,CA
2519,65+,AR
2520,25-34,GB
2521,45-54,RU
2522,25-34,TR
2523,55-64,JP
2524,18-24,IT
2525,65+,RU
2526,18-24,US
2527,25-34,CO
2528,45-54,ZA
2529,25-34,KR
2530,35-44,AU
2531,25-34,US
2532,45-54,FR
2533,18-24,GB
2534,<18,IN
2535,25-34,CN
2536,25-34,EG
2537,18-24,ZA
2538,25-34,TR
2539,25-34,SE
2540,<18,TR
2541,35-44,CN
2542,55-64,KR
2543,18-24,BR
2544,35-44,JP
2545,35-44,CL
2546,25-34,CL
2547,45-54,KR
2548,25-34,PT
2549,25-34,MX
2550,<18,PT
2551,35-44,TR
2552,35-44,AU
2553,<18,RU
2554,25-34,US
2555,65+,AR
2556,25-34,CA
2557,25-34,FR
2558,55-64,CA
2559,45-54,KR
2560,35-44,CN
2561,45-54,PT
2562,55-64,RU
2563,25-34,MX
2564,25-34,NG
2565,25-34,ZA
2566,65+,DE
2567,35-44,NG
2568,18-24,AU
2569,55-64,NL
2570,25-34,CL
2571,18-24,NG
2572,35-44,CO
2573,25-34,EG
2574,55-64,BR
2575,18-24,DE
2576,45-54,IT
2577,35-44,ZA
2578,<18,IN
2579,65+,KR
2580,25-34,CL
2581,25-34,NL
2582,25-34,NL
2583,55-64,TR
2584,25-34,RU
2585,18-24,CN
2586,18-24,EG
2587,25-34,AR
2588,45-54,RU
2589,25-34,SE
2590,18-24,US
2591,18-24,JP
2592,25-34,GB
2593,55-64,ES
2594,25-34,CO
2595,65+,RU
2596,25-34,ES
2597,18-24,US
2598,55-64,NG
2599,25-34,ES
2600,45-54,PT
2601,65+,JP
2602,<18,CO
2603,18-24,KR
2604,45-54,NG
2605,25-34,RU
2606,18-24,KR
2607,<18,ZA
2608,<18,NL
2609,45-54,US
2610,18-24,DE
2611,25-34,NL
2612,35-44,AU
2613,25-34,NG
2614,<18,CN
2615,45-54,BR
2616,<18,DE
2617,45-54,JP
2618,55-64,DE
2619,25-34,KR
2620,35-44,JP
2621,25-34,CN
2622,25-34,IT
2623,55-64,JP
2624,55-64,TR
2625,25-34,MX
2626,35-44,ZA
2627,55-64,PT
2628,65+,NL
2629,25-34,US
2630,25-34,GB
2631,25-34,FR
2632,65+,CN
2633,18-24,AR
2634,35-44,AR
2635,25-34,EG
2636,25-34,ZA
2637,25-34,CA
2638,65+,MX
2639,<18,IN
2640,35-44,KR
2641,18-24,DE
2642,18-24,AU
2643,25-34,TR
2644,25-34,JP
2645,25-34,SE
2646,25-34,ZA
2647,18-24,GB
2648,25-34,EG
2649,65+,RU
2650,65+,FR
2651,25-34,MX
2652,35-44,NL
2653,55-64,FR
2654,<18,IT
2655,45-54,ES
2656,65+,CL
2657,18-24,BR
2658,18-24,ZA
2659,65+,MX
2660,35-44,NG
2661,<18,FR
2662,25-34,CA
2663,25-34,ES
2664,35-44,IN
2665,45-54,ZA
2666,65+,RU
2667,25-34,PT
2668,35-44,IT
2669,35-44,FR
2670,25-34,JP
2671,18-24,AU
2672,65+,NL
2673,55-64,KR
2674,25-34,CA
2675,35-44,IT
2676,18-24,MX
2677,35-44,CA
2678,35-44,IN
2679,25-34,CA
2680,65+,GB
2681,35-44,TR
2682,25-34,PT
2683,45-54,ZA
2684,18-24,NG
2685,25-34,KR
2686,25-34,IT
2687,25-34,IT
2688,45-54,NG
2689,25-34,SE
2690,45-54,CL
2691,35-44,GB
2692,25-34,AR
2693,45-54,NL
2694,18-24,PT
2695,18-24,CL
2696,25-34,NG
2697,25-34,KR
2698,<18,IT
2699,35-44,DE
2700,25-34,AR
2701,25-34,IN
2702,65+,US
2703,35-44,IN
2704,55-64,BR
2705,18-24,ES
2706,35-44,AR
2707,55-64,MX
2708,35-44,EG
2709,45-54,MX
2710,25-34,CN
2711,18-24,PT
2712,25-34,SE
2713,25-34,IT
2714,55-64,CO
2715,25-34,KR
2716,65+,AR
2717,65+,CA
2718,25-34,NG
2719,25-34,RU
2720,55-64,EG
2721,65+,KR
2722,25-34,EG
2723,25-34,ZA
2724,35-44,KR
2725,35-44,CA
2726,25-34,CL
2727,45-54,FR
2728,<18,TR
2729,<18,ZA
2730,25-34,AU
2731,25-34,IT
2732,25-34,CA
2733,25-34,SE
2734,25-34,CO
2735,18-24,JP
2736,25-34,CL
2737,65+,AU
2738,25-34,CO
2739,25-34,EG
2740,35-44,RU
2741,65+,AR
2742,25-34,ZA
2743,35-44,ES
2744,45-54,AR
2745,35-44,NL
2746,18-24,CL
2747,35-44,PT
2748,18-24,KR
2749,35-44,BR
2750,45-54,TR
2751,18-24,IT
2752,55-64,AR
2753,<18,IT
2754,55-64,ZA
2755,25-34,CO
2756,18-24,CA
2757,18-24,CN
2758,65+,MX
2759,18-24,KR
2760,18-24,ZA
2761,25-34,MX
2762,35-44,CN
2763,35-44,MX
2764,18-24,SE
2765,25-34,DE
2766,18-24,CN
2767,18-24,ZA
2768,25-34,CL
2769,45-54,DE
2770,18-24,AU
2771,25-34,TR
2772,25-34,FR
2773,65+,GB
2774,65+,KR
2775,45-54,PT
2776,25-34,NL
2777,18-24,IT
2778,25-34,ZA
2779,25-34,CO
2780,25-34,JP
2781,45-54,IN
2782,55-64,EG
2783,55-64,US
2784,25-34,ES
2785,35-44,RU
2786,25-34,JP
2787,18-24,AR
2788,45-54,EG
2789,<18,NG
2790,25-34,BR
2791,25-34,FR
2792,35-44,CA
2793,45-54,NG
2794,25-34,CO
2795,45-54,CN
2796,25-34,TR
2797,25-34,PT
2798,45-54,BR
2799,35-44,CA
2800,65+,IT
2801,18-24,CN
2802,35-44,KR
2803,35-44,EG
2804,55-64,FR
2805,18-24,RU
2806,45-54,JP
2807,35-44,FR
2808,25-34,MX
2809,25-34,TR
2810,25-34,CO
2811,35-44,SE
2812,55-64,ZA
2813,35-44,GB
2814,35-44,NL
2815,25-34,AU
2816,<18,ES
2817,18-24,GB
2818,25-34,BR
2819,25-34,CL
2820,18-24,CN
2821,25-34,BR
2822,25-34,JP
2823,25-34,FR
2824,25-34,JP
2825,18-24,EG
2826,55-64,IN
2827,55-64,BR
2828,45-54,CN
2829,18-24,JP
2830,45-54,NG
2831,45-54,RU
2832,45-54,GB
2833,18-24,FR
2834,35-44,MX
2835,45-54,CA
2836,35-44,FR
2837,35-44,SE
2838,25-34,US
2839,35-44,SE
2840,<18,CO
2841,35-44,FR
2842,18-24,PT
2843,25-34,EG
2844,25-34,CO
2845,35-44,KR
2846,18-24,ES
2847,35-44,PT
2848,45-54,BR
2849,18-24,ZA
2850,18-24,CA
2851,18-24,FR
2852,55-64,FR
2853,35-44,SE
2854,25-34,ZA
2855,18-24,DE
2856,35-44,KR
2857,55-64,KR
2858,45-54,KR
2859,35-44,IT
2860,18-24,CN
2861,18-24,NL
2862,<18,EG
2863,25-34,US
2864,18-24,GB
2865,25-34,SE
2866,25-34,EG
2867,65+,PT
2868,35-44,US
2869,45-54,IT
2870,45-54,IT
2871,18-24,PT
2872,45-54,ZA
2873,25-34,IN
2874,35-44,MX
2875,25-34,JP
2876,65+,CA
2877,25-34,IN
2878,25-34,MX
2879,55-64,ES
2880,<18,CA
2881,35-44,CN
2882,45-54,NG
2883,45-54,BR
2884,65+,DE
2885,65+,CN
2886,18-24,US
2887,45-54,MX
2888,35-44,GB
2889,35-44,PT
2890,18-24,FR
2891,35-44,NG
2892,65+,EG
2893,55-64,TR
2894,25-34,TR
2895,<18,FR
2896,25-34,MX
2897,45-54,AR
2898,45-54,TR
2899,25-34,CA
2900,<18,EG
2901,25-34,CL
2902,25-34,TR
2903,55-64,NG
2904,35-44,GB
2905,25-34,CL
2906,35-44,TR
2907,18-24,MX
2908,65+,MX
2909,25-34,EG
2910,25-34,NG
2911,25-34,EG
2912,35-44,IT
2913,35-44,IN
2914,45-54,KR
2915,25-34,CO
2916,25-34,US
2917,18-24,MX
2918,35-44,CL
2919,<18,US
2920,35-44,BR
2921,55-64,CA
2922,55-64,CL
2923,25-34,FR
2924,25-34,CA
2925,18-24,CL
2926,35-44,FR
2927,45-54,JP
2928,25-34,IT
2929,25-34,CO
2930,45-54,KR
